route,people_summer,people_autumn,change_people_flat
EVE-OSL,19438,6974,12464
OSL-EVE,18705,7317,11388
OSL-TRD,19684,8908,10776
TOS-OSL,15379,5240,10139
OSL-TOS,16027,6375,9652
OSL-BGO,17752,8604,9148
TRD-OSL,15997,7142,8855
BOO-OSL,11540,3630,7910
BGO-OSL,15841,8184,7657
OSL-BOO,12062,4460,7602
OSL-SVG,13757,6977,6780
SVG-OSL,12511,6221,6290
OSL-ALF,6204,2830,3374
OSL-AES,5798,2679,3119
KKN-OSL,4494,1571,2923
AES-OSL,5460,2774,2686
OSL-KKN,4546,2057,2489
OSL-KRS,2960,920,2040
OSL-HAU,3434,1749,1685
EVE-BGO,2076,539,1537
BGO-EVE,1970,445,1525
MOL-OSL,2479,1297,1182
HAU-OSL,2502,1324,1178
KRS-OSL,1570,803,767
OSL-MOL,1926,1218,708
TRD-BGO,1441,897,544
OSL-LYR,1786,1283,503
BGO-TRD,1544,1111,433
ALF-OSL,763,656,107
TOS-LYR,487,447,40
